fuel_type,quantity,total_mispricing,adj_total_mispricing,total_overcomp,adj_total_overcomp,ave_mispricing,adj_ave_mispricing,ave_overcomp,adj_ave_overcomp
Battery,1038.854638,279770.7044,248764.7639,-198368.5694,-242596.503,269.306883,239.4606087,-190.9493034,-233.5230495
Hydro,22411.717,349382.2082,344862.919,302694.6629,298175.3736,15.58926558,15.38761707,13.50608982,13.30444132
,,,,,,,,,
Fuel,q,qc,TM,TMbar,AM,Ambar,Total Rev,%TM,%Tmbar
_,(GWh),(GWh),($m),($m),($/MWh),($/MWh),($m),,
Battery,_,1.038854638,0.279770704,0.248764764,269.306883,239.4606087,,,
Hydro,_,22.411717,0.349382208,0.344862919,15.58926558,15.38761707,,,
,,,,,,,,,
Fuel,_,_,TO,Tobar,AO,Aobar,_,%TO,%TObar
_,_,_,($m),($m),($/MWh),($/MWh),_,,
Battery,,,-0.198368569,-0.242596503,-190.9493034,-233.5230495,,,
Hydro,,,0.302694663,0.298175374,13.50608982,13.30444132,,,
